БЕЛГОРОДСКАЯ ЗЕРНОВАЯ КОМПАНИЯ (ЗАО);(47242) 4-95-25, 4-95-40
«ШЕРЕМЕТЬЕВСКОЕ» ООО;(84551) 2-19-31, 2-12-64
«ШКУРИН И.П.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(903) 381-36-51
«ШТУРМ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(84557) 2-31-44, 2-31-35
«ЩЕРЕНКО П.Ю.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(8453) 77-88-42
«ЭНГЕЛЬССКОЕ» ЗАО;(8453) 77-62-31, 77-62-22, 77-10-23
«ЮЖНЫЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(84578) 3-43-10, 2-23-59
«ЯГОДНАЯ ПОЛЯНА» ПЕРЕПЕЛИНАЯ ФЕРМА (ООО);"(84558) 5-93-22, 5-93-10; (8452) 77-51-31, 77-51-32"
«ЯМСКОЕ» СЕЛЬХОЗПРЕДПРИЯТИЕ;(84560) 2-10-31, 2-15-21
«ЯНТАРЬ-2003? ООО;(84566) 6-61-10, 6-61-23
«ЯХИН М.К.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(927) 113-80-40
АСАНОВСКИЙ АГРОТЕХНИЧЕСКИЙ СОВХОЗ-ТЕХНИКУМ;(34150) 6-21-36
БАЛЕЗИНСКАЯ СОРТОИСПЫТАТЕЛЬНАЯ СТАНЦИЯ (ОАО);(34166) 7-71-44, 7-71-43
ЗВЕРОВОДЧЕСКОЕ ХОЗЯЙСТВО (ООО). КИЗНЕРСКОЕ РАЙПО;(34154) 3-52-01, 3-52-29
ЗУРИНСКИЙ АГРОКОМПЛЕКС (ООО);(34134) 4-85-90
ИЖЕВСКАЯ ПТИЦЕФАБРИКА (ООО);(3412) 69-11-12
КАРАКУЛИНСКИЙ РЫБХОЗ;(34132) 3-12-70
КИЯСОВСКИЙ КОЛХОЗ;(34133) 2-22-34, 2-28-40
КОЛХОЗ ИМЕНИ КАЛИНИНА;(34151) 6-41-47, 6-41-21
КОЛХОЗ ИМЕНИ КАЛИНИНА;(34134) 6-22-22
КОЛХОЗ ИМЕНИ КАЛИНИНА;(34151) 6-31-32, 6-31-35
КОЛХОЗ ИМЕНИ КИРОВА;(34158) 6-01-17
КОЛХОЗ ИМЕНИ ЛЕНИНА;(34164) 5-11-16, 5-11-15
КОЛХОЗ ИМЕНИ ЛЕНИНА;(34130) 3-41-37, 3-41-45, 3-41-33
КОЛХОЗ ИМЕНИ МИЧУРИНА;(34166) 7-01-17
КОЛХОЗ ИМЕНИ МИЧУРИНА;(34155) 5-83-38, 5-91-24, 5-91-25
КОЛХОЗ ИМЕНИ МИЧУРИНА;(34154) 5-13-57, 5-13-33
КОЛХОЗ ИМЕНИ СВЕРДЛОВА;(34130) 3-71-32, 3-71-17
КОЛХОЗ ИМЕНИ СУВОРОВА;(34133) 6-31-37, 6-31-30
КОЛХОЗ ИМЕНИ ЧАПАЕВА;(34151) 4-91-46, 3-12-41
ОАО ИМЕНИ АЗИНА;(3412) 62-52-17
ООО ИМЕНИ КИРОВА;(34154) 5-11-22
ООО ИМЕНИ КИРОВА;(34162) 4-71-66
ООО ИМЕНИ ТЕЛЬМАНА;(34154) 5-32-58
ООО ИМЕНИ ФРУНЗЕ;(34162) 4-16-17, 4-16-27
ПЛЕМЗАВОД ИМЕНИ 10-летия УАССР;(34138) 6-55-39
РЫБОЗАВОД (ООО);(34159) 3-75-47, 3-75-25
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ ИЛЬИЧА;(34150) 6-61-48
УДМУРТСКАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ ПРОДОВОЛЬСТВЕННАЯ КОМПАНИЯ (ООО);"(34133) 6-21-23; (919) 903-01-20"
«40 лет ПОБЕДЫ» КОЛХОЗ;(34132) 2-74-46, 3-74-74
«АВАНГАРД» КОЛХОЗ;(34130) 3-61-49
«АВАНГАРД» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34134) 6-54-19
«АГРОМИР» ООО;(34161) 2-14-53
«АГРОСКОНТ» ООО;"(34136) 3-65-94; (912) 852-51-36"
«АГРОСОЮЗ УДМУРТИИ» ООО;(3412) 61-93-21, 50-50-39
«АГРОХИМ-ПРИБОЙ» ОАО;(34163) 5-72-99
«АКСАШКУР» КОЛХОЗ;(34138) 6-33-19, 6-33-30
«АНДРЕЙШУР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34166) 7-61-10
«АРДЕН» ОАО;(34132) 6-52-32
«АРЗАМАСЦЕВСКИЙ» СВИНОКОМПЛЕКС (ЗАО);(34132) 6-72-55
«АРЗАМАСЦЕВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34132) 6-72-97
«БАДЕРИН О.Л.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(34151) 6-01-47
«БАЙСИТОВО» ООО;(34138) 6-33-39
«БАТЫР» ООО;(34159) 3-55-05, 3-55-91
«БЕЛ-КАМ-АГРО» ООО;(34132) 3-54-26
«БЕМЫЖСКИЙ» ООО;(34154) 5-34-33
«БОЛЬШЕВИК» КОЛХОЗ;(34158) 3-92-45, 3-92-43
«БОРЕЦ» КОЛХОЗ;(34152) 5-81-33, 5-81-35, 5-71-36
«ВАВОЖ-РЕГИОН» ООО;(34155) 5-62-38, 2-16-41
«ВАЛАМАЗСКОЕ» КОЛХОЗ;(34159) 3-33-39, 3-33-45
«ВАЛОЖИКЬИНСКИЙ» КОЛХОЗ;(34139) 3-17-14, 9-92-17
«ВАРАКСИНО» ПТИЦЕВОДЧЕСКАЯ ФАБРИКА (ОАО);(34145) 5-15-84, 5-16-21
«ВАРАКСИНО» ПТИЦЕВОДЧЕСКАЯ ФАБРИКА (ООО);(3412) 69-11-12
«ВАРАКСИНО» ПТИЦЕФАБРИКА (ООО);(3412) 54-53-50, 54-51-60
«ВАРАЛИНСКИЙ» СЕЛЬХОЗКООПЕРАТИВ;(34150) 6-91-16
«ВАРЗИ-ЯТЧИ» ООО;(34150) 3-26-59, 3-25-24
«ВЕРА» ООО;(34139) 7-77-76
«ВЕРХ-УНИ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34161) 6-51-75
«ВОЗЕНШУР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34130) 4-31-80
«ВОСТОК» КОЛХОЗ;(34151) 6-31-11
«ВОСТОК» ООО;(34162) 4-72-19
«ВОСТОК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34157) 9-03-30
«ВОСТОЧНЫЙ» ОАО. УПРАВЛЯЮЩАЯ КОМПАНИЯ «КОМОС-ГРУПП» (ООО);(34147) 3-51-66, 2-48-99, 3-44-10
«ВОСТОЧНЫЙ» ООО;(3412) 62-52-17, 94-13-43, 64-12-00
«ВОСХОД» КОЛХОЗ;(34161) 6-27-13
«ВОСХОД» КОЛХОЗ;(34138) 6-32-71, 6-31-44
«ВОСХОД» ОАО;(34136) 3-57-38, 3-57-39
«ВОСХОД» ООО;(34166) 6-82-25, 6-82-54
«ВЫЛНУД» ООО;(34163) 5-02-22
«ВЫЛЬ УЛОН» КОЛХОЗ;(34152) 5-21-95
«ВЯТКА» КОЛХОЗ;(34151) 3-11-04
«ВЯТКА» ООО;(34157) 9-18-30
«ГИГАНТ» КОЛХОЗ;(34159) 3-43-31
«ГИД-АГРО» ООО;(3412) 72-68-61
«ГОНДЫРВАЙ» КОЛХОЗ;(34136) 3-77-30
«ГОПГУРТ» ООО;(3412) 78-76-87
«ГОРДЫЙ ОКТЯБРЬ» КОЛХОЗ;(34155) 6-52-24, 6-52-21
«ГРАХОВСКИЙ» ПЛЕМЗАВОД (ООО);(34163) 5-32-33
«ГРИГОРИЙ» ООО;"(34134) 6-23-16; (912) 878-27-75"
«ГУЛЕЙШУР» КОЛХОЗ;(34158) 6-41-37, 6-01-73
«ДЕВЯТОВО» ООО;(34147) 7-11-10
«ДЕРЖАВА» КОЛХОЗ;(34139) 7-42-31, 7-42-35
«ДРУЖБА» КОЛХОЗ;(34166) 3-61-18
«ДРУЖБА» КОЛХОЗ;(34158) 3-81-47
«ДРУЖБА» КОЛХОЗ;(34152) 3-13-31
«ДРУЖБА» КОЛХОЗ;(34151) 4-51-41, 4-51-10
«ДРУЖБА» ООО;(34153) 3-51-00
«ДРУЖБА» ООО;(34130) 3-21-16, 3-21-43
«ДЭМЕН» ООО;(34134) 4-96-32
«ЕЖЕВСКИЙ» ООО;(34161) 6-11-31, 6-11-32
«ЕЛОВО» ООО;(34157) 9-04-17
«ЖУЕ-МОЖГА» ООО;(34155) 5-52-42
«ЗАВЕТ ИЛЬИЧА» КОЛХОЗ;(34154) 5-33-10
«ЗАВЬЯЛОВСКИЙ» КОМБИНАТ (ОАО);(3412) 20-05-05, 21-09-65
«ЗАРЕЧНЫЙ» КОЛХОЗ;(34141) 9-70-38
«ЗАРНИ ЛУД» ООО;(34155) 2-12-48, 2-16-41
«ЗАРЯ» КОЛХОЗ;(34134) 4-31-06
«ЗАРЯ» КОЛХОЗ;(34158) 3-92-24, 3-31-24
«ЗАРЯ» КОЛХОЗ;(34139) 9-42-31, 9-42-51, 3-12-17
«ЗАРЯ» КОЛХОЗ;(34164) 5-81-15
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34130) 4-31-45
«ЗВЕЗДА» КОЛХОЗ;(34154) 5-24-10
«ЗВЕЗДА» КОЛХОЗ;(34159) 3-71-10
«ЗВЕЗДА» ООО;(34161) 6-31-18
«ЗНАМЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34134) 6-24-16
«ЗНАМЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34139) 9-82-32
«ЗУРА ЛЕН» ООО;(34134) 4-81-02, 4-82-93
«ИГРА» АГРОФИРМА (ООО);(34134) 4-16-65
«ИЖ-КАМА» ООО;(34150) 3-15-31
«ИЖСТАЛЬ-АГРО» ООО;(3412) 50-51-56
«ИЗОШУР» ООО;(904) 314-32-94
«ИНВИС» ООО;(34150) 6-62-42, 6-61-42
«ИРГИНА» ООО;(34159) 3-15-57, 3-17-97
«ИСКРА» КОЛХОЗ;(34158) 3-81-12
«ИСКРА» КОЛХОЗ;(34130) 6-31-22, 6-31-24
«ИСКРА» КОЛХОЗ;(34138) 6-71-10, 6-71-39
«ИСКРА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34154) 5-01-45
«ИСТОК» ООО;(34162) 5-15-10, 4-95-10
«ИСТОК» ООО;(34139) 7-62-17
«ИСТОК» ООО;(34141) 9-81-33
«ИСТОК» ООО;(34136) 3-77-38
«ИТА» КОЛХОЗ;(34136) 3-38-24
«ИЮЛЬСКОЕ» ОАО. ИЖЕВСКАЯ ГОСУДАРСТВЕННАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ АКАДЕМИЯ;(34145) 3-76-25, 9-51-32
«КАКСИ» ООО;(34139) 9-82-32, 9-82-21
«КАМА» ООО;(34132) 3-16-89
«КАМЕННЫЙ КЛЮЧ» КОЛХОЗ;(34155) 6-52-30
«КАМСКОЕ» ОАО;(3412) 35-12-66
«КАМЫЖЕВО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34158) 6-91-39
«КАСАТКИН Г.Н.» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(34157) 9-13-18
«КАУРИ-СХП» ООО;(3412) 51-58-88, 51-60-91
«КАЧКАШУРСКОЕ» ООО;(34164) 5-61-16
«КЕДР» ООО;(34162) 4-72-19
«КЕП» ООО;(34166) 5-32-41
«КЕСТЫМСКИЙ» ООО;(34166) 6-21-38, 6-41-87
«КИГБАЕВО АГРО» ООО;(34147) 7-31-35
«КИГБАЕВСКИЙ БЕКОН» ООО. УПРАВЛЯЮЩАЯ КОМПАНИЯ «КОМОС-ГРУПП» (ООО);(34147) 7-31-97, 7-32-83, 7-32-98
«КИЗИЛИ» КОЛХОЗ;(34138) 6-91-16, 6-91-42
«КИПУН» ООО;"(34136) 3-30-03; (912) 468-62-02"
«КОЖИЛЬСКИЙ» КОЛХОЗ;(34141) 9-01-46, 9-01-10
«КОЛОС» КОЛХОЗ;(34155) 5-01-17, 5-01-37
«КОЛОС» КОЛХОЗ;(34158) 6-11-33
«КОЛОС» ООО;(34139) 7-52-30, 7-52-32
«КОЛОС» ООО;(34157) 9-07-17
«КОЛОС» ООО;(34150) 3-25-35, 3-26-37
«КОЛОС» ООО;(34166) 7-21-38
«КОЛОС» ООО;(34133) 6-21-30
«КОММУНАР» КОЛХОЗ;(34141) 9-93-10
«КОММУНАР» ООО;(34150) 6-91-17
«КОММУНАР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34139) 3-17-14
«КОРОТАЙ» КОЛХОЗ;(34141) 9-00-33
«КОТЕГОВО» ООО;(34166) 5-28-72, 7-21-35, 6-41-10
«КРАСНОГОРСК АГРО» ООО;(34164) 2-19-33, 2-18-66
«КРАСНОГОРСКОЕ» ООО;(34164) 2-18-08
«КРАСНЫЙ ОКТЯБРЬ» КОЛХОЗ;(34139) 7-07-12, 7-07-46
«КРАСНЫЙ ТРУЖЕНИК» ООО;(34130) 3-51-24, 3-51-22
«КРЕСТЬЯНСКИЙ РЫНОК» ООО;(3412) 62-31-67, 62-78-37
«КУЗЕБАЕВО» КОЛХОЗ;(34150) 6-31-32, 6-31-25
«КУЛИГА» КОЛХОЗ;(34158) 3-32-53, 3-32-51
«КУРКАН» ООО;(34161) 6-21-31, 6-12-71
«КУРЬИНСКОЕ» ООО;(34164) 3-41-15
«ЛЕН-СЕРВИС» ООО;(34134) 4-82-93
«ЛЕНИН СЮРЕС» КОЛХОЗ;(3412) 62-76-36, 62-85-48
«ЛЕН» ООО;(34139) 3-12-61
«ЛЕСАГУРТ» КОЛХОЗ;(34151) 2-18-93
«ЛЕХМА» ООО;(34157) 9-14-24, 9-14-21
«ЛОДОС» ООО;(34151) 2-17-01
«ЛУДОРВАЙ» ООО;(922) 687-71-30
«ЛУЧ» КОЛХОЗ;(34141) 9-87-22, 9-87-10
«ЛУЧ» КОЛХОЗ;(34155) 5-83-34, 5-83-31
«ЛУЧ» КОЛХОЗ;(34130) 3-75-39, 3-75-38
«ЛУЧ» КОЛХОЗ;(34139) 9-62-18, 9-62-61
«ЛУЧ» КОЛХОЗ;(34130) 3-31-45, 4-42-90
«ЛУЧ» КОЛХОЗ;(34136) 3-75-39, 3-75-38
«ЛУЧ» КОЛХОЗ;(34151) 6-81-47
«ЛУЧ» ООО;(34161) 3-81-43
«ЛУЧ» ООО;(34162) 4-14-43
«ЛЫСТЕМСКОЕ» ОАО;(34155) 6-12-22, 6-12-42
«ЛЯЛИНСКИЙ» КОЛХОЗ;(34152) 5-91-68
«МАЛОПУРГИНСКИЙ» ООО;(34138) 4-18-71
«МАЯК» КОЛХОЗ;(34158) 6-03-87, 6-03-35
«МАЯК» ООО;(34166) 7-31-85 Числ. 200 чел.
«МЕДВЕДЕВА В.П.» ООО;(34130) 6-41-25
«МЕЛЬНИЧАНСКОЕ» КОЛХОЗ;(34159) 3-75-25
«МЕРКУРИЙ» ООО;(34163) 5-22-49
«МИР» КОЛХОЗ;(34150) 3-14-98
«МИР» КОЛХОЗ;(34151) 4-35-22, 4-35-21
«МИР» КОЛХОЗ;(34157) 4-13-73
«МИР» ООО;(34147) 7-01-63, 7-01-35
«МИР» ООО;(34145) 7-75-89
«МИР» ООО;(34147) 7-05-47
«МИР» ООО;"(34136) 3-51-33; (950) 814-76-36"
«МИР» ООО;(34147) 7-01-63, 7-01-35
«МИР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34151) 4-11-21
«МИР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34161) 6-81-43
«МИЧУРИНСКИЙ» АГРОКОМПЛЕКС;(34154) 3-52-70
«МОЖГИНСКАЯ» ПТИЦЕВОДЧЕСКАЯ ФАБРИКА (ООО);(34139) 3-63-37
«МОЖГИНСКОЕ» ООО;(34139) 4-06-63, 4-18-70
«МОЖГИНСКОЕ» ООО;(34139) 9-52-85
«МОЛНИЯ» ООО;(34138) 6-81-44, 6-81-36
«МОЛНИЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ. ООО «СЯМ-МОЖГА»;(34130) 6-81-43
«МОЛОДАЯ ГВАРДИЯ» КОЛХОЗ;(34150) 6-22-32, 6-22-34
«МУЖБЕР» ООО;(34134) 6-22-49, 6-22-37, 6-22-22
«МЫСЫ» КОЛХОЗ;(34158) 3-33-98
«НАГОВИЦЫНО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34166) 7-31-66
«НАДЕЖДА» КОЛХОЗ;(34138) 6-71-23
«НАДЕЖДА» ООО;(34151) 6-21-53, 6-21-43, 4-17-44
«НАДЕЖДА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34141) 9-88-10
«НЕКТАР» КОЛХОЗ;(34136) 3-77-36
«НЕЧКИНСКОЕ» ООО;(34147) 7-81-10, 7-81-35
«НИВА» КОЛХОЗ;(34159) 3-15-57, 3-18-74, 3-17-84
«НИВА» КОЛХОЗ;(34152) 5-81-35
«НИВА» КОЛХОЗ;(34161) 2-12-05, 3-91-22, 3-91-34
«НИВА» КОЛХОЗ;(34136) 3-95-21
«НИВА» ООО;(34153) 3-62-25
«НИВА» ООО;(34157) 9-16-20
«НИВА» ООО;(34130) 4-42-88, 4-42-33
«НИВА» ООО;(34163) 5-51-32
«НИКОЛЬСКОЕ» ООО;(34166) 2-28-72, 6-41-10
«НИКОЛЬСКОЕ» ООО;(34157) 9-06-23
«НОВАЯ ЖИЗНЬ» ОАО;(34145) 9-41-22
«НОВАЯ ЖИЗНЬ» ООО;(34157) 4-10-88
«НОВОЕ» ООО;(34138) 6-91-79, 6-91-46, 6-31-92
«НОВЫЙ МИР» КОЛХОЗ;(34138) 6-61-16
«НОВЫЙ ПУТЬ» КОЛХОЗ;(34154) 4-41-32
«НОРЬИНСКОЕ» ООО;(34138) 3-11-33, 3-64-67
«НЫЛГА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34130) 3-13-96
«НЫЛГИНСКИЙ ЛЕН» ООО;(34130) 3-11-63
«НЫША» ООО;(34139) 9-72-21
«ОЗЕРКИ ПЛЮС» ООО;(34157) 9-01-17, 9-01-25
«ОКТЯБРЬСКИЙ» ООО;(34141) 9-95-10
«ОЛЬХОВКА» ООО;(34145) 9-42-22, 5-16-76
«ОРКИНО» КОЛХОЗ;(34150) 6-62-40
«ОРЛОВСКОЕ» ООО;(34166) 6-13-23
«ОШМЕС» ЗАО;(34136) 3-41-06
«ПАЖМАН» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34158) 6-91-42
«ПАЛЬНИКОВСКОЕ» ЗАО;(3412) 32-15-37
«ПАЛЭП» ООО;(34150) 6-23-24, 2-14-39
«ПАРТИЗАНСКИЙ» КОЛХОЗ;(34141) 9-05-74
«ПЕРВЫЙ МАЙ» КОЛХОЗ;(34138) 6-01-45, 1-64-43
«ПЕРВЫЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ЗАВОД» ООО;(3412) 50-65-03
«ПЕТУХОВО» ООО;"(34139) 7-14-30, 7-11-80; (912) 858-09-10"
«ПИХТОВКА» РЫБХОЗ;(34145) 7-31-31, 7-31-18
«ПОБЕДА» КОЛХОЗ;(34139) 3-12-90, 9-22-51
«ПОБЕДА» КОЛХОЗ;(34130) 6-21-22, 6-21-24
«ПОБЕДА» ООО;(34136) 3-72-42, 3-32-48
«ПОРШУР» ООО;(34139) 9-72-78, 9-72-22
«ПРАВДА» КОЛХОЗ;(34166) 3-71-18, 3-71-25
«ПРАВДА» СОВХОЗ (ООО);(3412) 62-84-22
«ПРИГОРОДНЫЙ» КОЛХОЗ;(34141) 9-91-10
«ПРИКАМЬЕ» ОАО;(34132) 3-18-64, 3-13-06
«ПРОГРЕСС» КОЛХОЗ;(34157) 9-03-20
«ПРОГРЕСС» КОЛХОЗ;(34150) 6-15-15, 6-15-16
«ПРОГРЕСС» КОЛХОЗ;(34164) 5-01-15
«ПРОГРЕСС» ООО;(34166) 7-11-10
«ПРОГРЕСС» ООО;(34134) 4-74-16
«ПРОХОРОВСКИЙ» КОЛХОЗ;(34164) 3-51-16
«ПУТЬ ИЛЬИЧА» ОАО;(3412) 62-64-18, 62-64-16
«ПУТЬ ИЛЬИЧА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34147) 7-03-35
«ПУТЬ к КОММУНИЗМУ» КОЛХОЗ;(34166) 6-51-41, 6-51-19
«РАЗВИТИЕ» ЗАО;(34166) 6-82-10, 6-82-19
«РАССВЕТ» КОЛХОЗ;(34150) 6-71-21
«РАССВЕТ» КОЛХОЗ;(34138) 6-93-39, 6-91-60
«РАССВЕТ» ООО;(34134) 6-23-72
«РАССВЕТ» ООО;(34162) 4-26-43
«РАССВЕТ» ООО;(34163) 5-82-34
«РАССВЕТ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34133) 6-41-30
«РЕШИТЕЛЬНЫЙ» ООО;(34150) 6-13-41, 6-13-18
«РИКО-АГРО» ООО;(34130) 4-31-33
«РОДИНА» КОЛХОЗ;(34163) 3-15-09, 5-61-41
«РОДИНА» КОЛХОЗ;(34138) 6-91-72, 6-91-46
«РОДИНА» ООО;(34147) 7-01-10, 7-02-35
«РОДИНА» ООО;(34162) 4-27-30
«РОДИНА» ООО;(34150) 3-10-11, 4-08-19
«РОДИНА» ООО;(34139) 7-73-38, 7-74-79
«РОДИНА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34151) 6-71-30
«РОДНИКИ» АГРОФИРМА (ЗАО);(34152) 5-61-36
«РОДНИК» ООО;(34141) 9-88-21
«РОДНИК» ООО;(34158) 3-24-89
«РОСЕВРОПЛАНТ» ЗАО;(3412) 62-13-35
«РОССИЯ» ООО;(34166) 3-12-29
«РОССИЯ» ООО;(34139) 3-12-19, 7-75-35
«РОССИЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34134) 3-16-65
«РУСИЧ» ООО;(34132) 3-92-84, 3-92-97
«РУССКИЙ ПЫЧАС» ООО;(34139) 7-05-45, 7-05-48
«САРАПУЛЬСКАЯ» ПТИЦЕВОДЧЕСКАЯ ФАБРИКА (ООО);(34147) 2-47-53, 2-47-54
«СВОБОДА» КОЛХОЗ;(34158) 6-04-41
«СВОБОДА» КОЛХОЗ;(34159) 3-67-41, 3-67-42
«СВОБОДА» КОЛХОЗ;(34130) 6-11-22, 6-11-39
«СЕВЕРНЫЙ» ООО;(34141) 9-83-73
«СЕЛАНА» ООО;(34145) 9-31-23
«СЕЛЬФОН» ООО;(34139) 9-32-95
«СЕП» ООО;(34134) 4-67-93, 4-67-94
«СЕРГИНСКИЙ» КОЛХОЗ;(34166) 3-51-18, 3-51-66
«СЛУДКА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34141) 9-71-33
«СОГЛАСИЕ» ООО;(34136) 3-04-97
«СОКОЛОВСКОЕ» ООО;(34147) 7-03-35, 7-03-10
«СОСНОВСКОЕ» ООО;(34132) 6-82-94
«СОЮЗ» КОЛХОЗ;(34158) 6-21-46, 6-05-41
«СПЕКТР» ООО;(34161) 6-62-43
«СТАРОЗЯТЦИНСКИЙ» КОЛХОЗ;(34162) 4-31-31
«СТЕПАНЕНКИ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34158) 6-07-36
«СТМК-АГРО» ООО;(34138) 6-71-44, 6-71-71
«СЮМСИИЛ» ООО;(34152) 5-61-76
«СЯМ-МОЖГА» ООО;(34130) 6-51-45
«ТРАКТОР» КОЛХОЗ;(34139) 7-21-81, 7-21-31
«ТРОИЦКОЕ» ОАО;(34132) 3-24-10, 3-24-69
«ТРУД» КООПЕРАТИВНОЕ ХОЗЯЙСТВО;(34152) 5-91-28
«ТРУД» ООО;(34141) 9-97-46
«ТРУЖЕНИК» КОЛХОЗ;(34151) 6-61-35, 6-61-47
«ТРУЖЕНИК» ООО;(34158) 3-61-45
«ТРУЖЕНИК» ООО;(34136) 3-51-91
«ТУРНЕС» ООО;(34151) 2-12-37
«ТУТАШЕВО» ООО;(34139) 9-32-28, 9-32-44
«ТЫЛОВАЙ» ООО;(34151) 3-11-13
«УВИНСКИЙ» ПЛЕМЕННОЙ ПТИЦЕВОДЧЕСКИЙ СОВХОЗ (ООО);(34130) 5-17-08, 5-50-02, 5-18-30
«УДАРНИК» КОЛХОЗ;(34130) 6-71-21, 6-71-32
«УДМУРТИЯ» КОЛХОЗ;(34155) 6-31-43, 6-31-24
«УДМУРТСКАЯ» ПТИЦЕФАБРИКА (ООО);(34141) 3-87-00, 3-87-01
«УДМУРТСКАЯ» ПТИЦЕФАБРИКА (ООО);(34141) 3-85-55, 3-87-00
«УРАЛЬСКАЯ» АГРОФИРМА (ООО);(34147) 7-52-21
«УРАЛ» КОЛХОЗ;(34158) 6-11-31
«УРАЛ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(34151) 6-31-32
«УРАЛ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (ООО);(34130) 3-51-22, 3-51-24
«УРНЯК» ООО;(34161) 6-31-84
«УРОМСКОЕ» ГУП;(34138) 6-21-44
«ХАЛДЫ» ООО;(34159) 3-75-80
«ЧЕПЦА» ООО;(34141) 9-72-42
«ЧИРГИНО» КОЛХОЗ;(34141) 9-00-41
«ЧУРА» ООО;(34141) 9-78-22
